País;Año;V1;V2;V3;V4;V5
Colombia;2000;2265,093784;4254,24811;-4178,767699;3447,836551;360,0116977
Colombia;2001;2224,648918;4163,276826;-4104,42309;3347,289969;353,1008804
Colombia;2002;2288,006725;4287,145906;-4211,444945;3460,6961;365,0324032
Colombia;2003;2272,585104;4219,432538;-4167,187463;3389,678977;343,7212513
Colombia;2004;2338,456252;4338,507598;-4270,967055;3501,987163;373,0314003
Colombia;2005;2454,57463;4433,138232;-4354,970238;3616,818155;356,2566997
Colombia;2006;2689,593144;4883,662521;-4787,155931;4016,765858;383,2183954
Colombia;2007;2828,156341;5138,322212;-5017,691691;4255,147463;401,4265523
Colombia;2008;2915,805133;5165,452774;-5054,198446;4304,950562;399,1664656
CostaRica;1993;4033,136224;7780,766834;-6900,688806;7296,678609;640,9543366
CostaRica;1994;3780,088928;7104,071801;-6302,578839;6717,440707;575,5921642
CostaRica;1995;4038,549907;7704,97852;-6825,065447;7284,024039;624,9101611
CostaRica;1996;4111,44708;7873,723216;-6918,409358;7475,797437;648,330125
CostaRica;1997;4070,637073;7670,877772;-6772,082684;7284,809618;630,7699182
CostaRica;1998;4264,26431;8194,826166;-7274,523569;7702,090564;671,9591313
CostaRica;1999;4288,058902;8076,582014;-7153,188697;7678,700029;671,2985519
CostaRica;2000;3944,521511;7241,83254;-6393,433903;6921,13477;610,8802906
CostaRica;2001;4022,90594;7445,35792;-6681,326609;7001,914349;604,8588431
CostaRica;2002;3959,612639;7271,108361;-6550,382353;6808,6812;583,8070471
CostaRica;2003;4135,805311;7594,528053;-6912,733679;7056,519431;598,9786252
CostaRica;2004;3904,71843;6986,319312;-6325,443734;6548,462482;549,6972649
CostaRica;2005;4120,592917;7438,89507;-6723,564175;6974,794968;586,5056898
CostaRica;2006;4133,126939;7259,598911;-6416,485645;7000,836043;588,9302421
CostaRica;2007;4417,376723;7923,425054;-7128,431981;7504,336408;624,1758276
CostaRica;2008;5038,97857;9088,582103;-7756,709332;9012,652825;751,8756587
DominicanRepublic;1993;2942,624413;6109,755985;-6008,406052;4998,795567;414,5608242
DominicanRepublic;1994;2949,937808;6092,127402;-5976,400898;5011,069187;412,8664556
DominicanRepublic;1995;3047,402826;6332,097134;-6225,732517;5190,166689;423,1592058
DominicanRepublic;1996;3189,054;6592,296733;-6490,451933;5425,822674;438,4573672
DominicanRepublic;1997;3073,011084;6315,311647;-6236,439015;5172,191077;418,2601349
DominicanRepublic;1998;3297,015121;6805,174123;-6681,499201;5617,86196;451,6111796
DominicanRepublic;1999;3147,096361;6435,163824;-6339,441145;5291,8054;418,4933066
DominicanRepublic;2000;3314,869123;6760,990556;-6648,101663;5583,376577;437,8433976
DominicanRepublic;2001;3204,23313;6256,368778;-6209,968689;5182,475707;397,5246896
DominicanRepublic;2002;3065,953643;5820,394874;-5791,506397;4847,148239;363,7162909
DominicanRepublic;2003;3074,766892;5688,218235;-5696,055243;4749,780526;344,9604475
DominicanRepublic;2004;3474,783289;6619,13602;-6582,135202;5548,104163;400,2028925
DominicanRepublic;2005;3538,30056;6771,605717;-6717,928321;5671,746863;413,8828284
DominicanRepublic;2006;3356,305097;6265,202029;-6229,641087;5253,544392;371,5877473
DominicanRepublic;2007;3687,232609;6919,531482;-6881,616927;5821,764114;402,2868867
DominicanRepublic;2008;3234,701254;5798,456362;-5798,262103;4874,652695;320,8145499
Ecuador;1993;2091,796228;3950,509511;-3852,354346;3274,011662;281,4513163
Ecuador;1994;2220,014434;4057,147151;-3725,372846;3631,853677;315,3960139
Ecuador;1995;2139,700264;3938,085422;-3721,149465;3420,037207;297,1371119
Ecuador;1996;2196,436926;4034,212976;-3838,389214;3490,996371;298,6647581
Ecuador;1997;2200,913745;4031,532582;-3864,174867;3457,972252;294,8568125
Ecuador;1998;2266,582621;4128,570523;-3933,415707;3573,562105;298,603247
Ecuador;1999;2168,071242;3924,995906;-3749,115534;3368,712652;285,1354159
Ecuador;2000;2150,666489;3888,755562;-3724,310636;3321,701728;278,1798303
Ecuador;2001;2126,939844;3821,703518;-3683,196325;3254,470355;272,4705871
Ecuador;2002;2128,69919;3809,719305;-3683,428607;3229,855575;268,5811397
Ecuador;2003;2185,775301;3894,564425;-3768,67433;3314,078219;271,4520872
Ecuador;2004;2211,641188;3864,999908;-3720,135122;3324,72445;265,0695792
Ecuador;2005;2338,417679;4050,130602;-3929,213837;3481,984033;264,3680128
Ecuador;2006;2378,265252;4066,529448;-3947,050733;3494,485754;266,4598512
Ecuador;2007;2480,526961;4195,251281;-4020,856649;3656,682702;280,048431
Ecuador;2008;2664,705231;4457,041471;-4240,316799;3955,446016;292,7917204
ElSalvador;1993;2910,779849;6079,469368;-5779,204498;5117,88548;457,4307072
ElSalvador;1994;3009,672656;6273,108422;-5941,719463;5308,999891;475,9235045
ElSalvador;1995;3119,272044;6538,989261;-6260,566346;5478,970583;483,6625225
ElSalvador;1996;3247,379651;6796,687371;-6478,014263;5740,84393;502,86347
ElSalvador;1997;3421,182893;7140,315275;-6709,361068;6127,063285;541,5390922
ElSalvador;1998;3559,353522;7406,934096;-6994,383622;6339,218235;556,7870693
ElSalvador;1999;3512,755035;7267,688904;-6847,408639;6228,668449;548,4768578
ElSalvador;2000;3304,625344;6712,246409;-6353,81731;5733,556179;503,145833
ElSalvador;2001;3312,586274;6732,632131;-6319,458533;5797,668672;513,0728982
ElSalvador;2002;3381,588497;6860,028421;-6453,661404;5905,983326;518,5234551
ElSalvador;2003;3461,646119;6915,498374;-6396,107028;6089,006514;532,4297566
